id;value;translationKey_id;language_id;created_by;created_date;last_modified_by;last_modified_date
11;Prima cheie;1;1;admin;2021-01-05 23:05:00;admin;2021-01-05 23:05:00
12;Primera llave;1;2;admin;2021-01-05 23:06:00;admin;2021-01-05 23:06:00
13;A doua cheie;2;1;admin;2021-01-05 23:07:00;admin;2021-01-05 23:07:00
14;La deuxième clé;2;4;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
15;ejofakkbhilpsRO;3;1;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
16;ejofakkbhilpsES;3;2;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
17;ejofakkbhilpsEN;3;3;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
18;ejofakkbhilpsFR;3;4;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
19;hebkoklafijspRO;4;1;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
20;hebkoklafijspES;4;2;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
21;hebkoklafijspEN;4;3;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
22;hebkoklafijspFR;4;4;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
23;aoklsifkbhjpeRO;5;1;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
24;aoklsifkbhjpeES;5;2;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
25;aoklsifkbhjpeEN;5;3;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
26;aoklsifkbhjpeFR;5;4;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
27;kafpebslikhojRO;6;1;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
28;kafpebslikhojES;6;2;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
29;kafpebslikhojEN;6;3;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
30;kafpebslikhojFR;6;4;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
31;kehofipbjlaskRO;7;1;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
32;kehofipbjlaskES;7;2;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
33;kehofipbjlaskEN;7;3;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
34;kehofipbjlaskFR;7;4;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
35;ehfpiosjkaklbRO;8;1;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
36;ehfpiosjkaklbES;8;2;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
37;ehfpiosjkaklbEN;8;3;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
38;ehfpiosjkaklbFR;8;4;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
39;ibfpheasolkkjRO;9;1;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
40;ibfpheasolkkjES;9;2;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
41;ibfpheasolkkjEN;9;3;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
42;ibfpheasolkkjFR;9;4;admin;2021-01-05 23:08:00;admin;2021-01-05 23:08:00
